,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,mentality_vision,passing,dribbling,attacking_crossing,attacking_volleys,attacking_short_passing,attacking_finishing,skill_long_passing,skill_dribbling,skill_ball_control,skill_curve,skill_fk_accuracy,movement_reactions,movement_acceleration,power_stamina,mentality_positioning,mentality_composure,mentality_penalties,height_cm
14999,Eder González,"CM, CAM",61,64,450000.0,2000.0,24,2023.0,64,60,65,54,43,64,54,60,63,64,52,51,56,72,70,53,59,40,171
7934,I. Poblete,"CAM, CM",67,70,1300000.0,3000.0,26,2022.0,67,67,71,63,45,70,64,62,71,70,63,75,53,70,74,64,68,52,171
1868,D. Turnbull,"CAM, CM",75,83,12500000.0,34000.0,21,2024.0,77,76,75,74,63,76,70,75,75,76,76,73,73,71,75,73,75,75,185
7384,Nico González,"CM, CAM",68,83,2900000.0,23000.0,19,2024.0,72,66,66,62,51,67,61,70,63,73,42,57,69,69,69,73,66,51,188
15345,H. Tangen,"CAM, CM",60,76,650000.0,750.0,20,2024.0,59,58,63,55,46,62,58,57,63,61,51,51,55,69,67,55,56,51,177
15707,S. Alabi,"CAM, RM",60,74,600000.0,2000.0,21,2024.0,60,58,66,49,48,63,46,64,65,63,50,39,44,75,49,54,61,41,170
17342,A. Meekison,"CM, CAM",57,73,425000.0,750.0,19,2022.0,58,56,60,50,46,59,52,57,59,57,58,48,55,70,66,54,57,52,180
3184,D. Aleksić,"CAM, CM, LM",72,72,2300000.0,25000.0,30,2022.0,74,74,74,73,65,74,71,72,75,75,80,79,62,69,80,66,69,70,182
2972,J. Gressel,"RM, RWB, CAM",73,73,3200000.0,8000.0,27,2024.0,75,73,70,77,60,73,62,68,71,70,74,64,70,70,88,72,70,62,185
15726,Y. Van den Bossche,CAM,60,74,600000.0,2000.0,20,2022.0,50,58,68,61,48,65,55,52,68,70,51,45,55,75,49,48,54,49,175
3042,Y. Verschaeren,"CAM, RW, CM",73,83,6500000.0,10000.0,19,2024.0,70,72,77,68,62,77,67,70,75,77,75,68,66,74,64,63,71,63,172
3028,Sancet,"ST, CAM",73,83,7000000.0,17000.0,21,2024.0,72,67,76,55,69,75,72,68,75,80,60,41,73,69,59,77,72,66,188
3146,M. Carcela-González,"RW, RM, CAM",72,72,1900000.0,13000.0,32,2022.0,67,69,77,68,66,70,66,69,79,75,75,71,66,75,53,72,78,70,175
3166,P. Mpoku,"CAM, RW, LW",72,72,2300000.0,14000.0,29,2023.0,72,74,73,74,73,73,68,75,74,74,76,76,67,74,68,70,76,75,180
10313,H. Alpsoy,"CDM, CAM, CM",65,73,1500000.0,4000.0,24,2023.0,65,61,64,45,41,70,31,65,66,63,53,40,54,68,58,57,55,46,185
3272,S. Lletget,"CM, CAM",72,72,2300000.0,7000.0,28,2021.0,72,72,75,68,60,79,64,69,75,76,70,54,74,69,78,68,75,58,178
10283,C. Ronan,"CM, LM, CAM",65,74,1600000.0,15000.0,23,2022.0,68,67,68,62,55,68,54,68,67,68,69,70,53,73,77,58,65,60,170
18083,J. Chorushij,"CM, CDM, CAM",55,71,325000.0,500.0,18,2022.0,45,50,60,35,40,62,45,58,55,55,50,31,65,71,62,53,43,43,172
10720,M. Bogusz,"CAM, CM, LM",65,81,1800000.0,10000.0,19,2022.0,65,62,68,49,47,68,62,62,69,68,60,66,57,72,63,57,60,59,175
1926,O. Kökçü,"CM, CAM",75,83,12500000.0,8000.0,20,2025.0,77,76,77,73,64,78,68,78,78,78,75,70,73,74,81,67,75,61,175
2384,Chiquinho,CAM,74,77,5500000.0,12000.0,25,2022.0,74,75,78,75,71,75,66,74,77,78,80,71,73,73,71,72,80,74,174
14254,M. Kjaergaard,"CAM, CM",62,80,1000000.0,2000.0,18,2024.0,55,59,62,55,42,65,57,65,60,67,45,38,57,67,65,57,47,45,189
9286,I. Jebali,"ST, CF, CAM",66,66,850000.0,5000.0,29,2024.0,68,62,71,53,60,67,65,56,73,70,61,50,62,69,72,66,69,64,186
8062,D. Cataño,CAM,67,67,1000000.0,950.0,29,2022.0,66,64,69,54,35,70,58,63,70,68,53,63,64,74,47,64,62,60,174
17094,E. Patoulidis,"CAM, CM",57,71,400000.0,1000.0,19,2023.0,50,50,64,38,53,56,56,51,63,65,47,48,40,72,44,51,51,62,174
7298,S. Esposito,"ST, CAM",68,85,3100000.0,13000.0,18,2022.0,61,67,73,67,62,68,67,65,74,75,75,74,62,71,63,65,64,67,186
1971,A. Mierzejewski,"CAM, CM, RM",74,74,2000000.0,15000.0,34,2021.0,73,73,76,71,71,76,75,69,76,76,71,74,71,73,81,71,73,64,176
16715,Han Jung Woo,"RM, CAM",58,64,325000.0,600.0,22,2021.0,51,54,60,55,39,58,51,52,58,58,48,40,52,75,56,54,59,46,169
4321,João Carvalho,CAM,71,77,3000000.0,26000.0,24,2023.0,72,71,76,70,69,71,64,70,74,75,75,70,68,74,57,62,73,69,172
9262,Welliton Helmes,CAM,66,66,1000000.0,6000.0,21,2024.0,61,61,71,58,53,66,65,51,72,71,66,62,64,72,65,58,63,63,172
14472,B. Héry,"CAM, CM, CDM",61,61,325000.0,700.0,29,2021.0,66,58,64,43,48,64,42,61,61,64,53,33,57,78,70,54,64,38,175
4260,C. Gonzáles,"CAM, LM, RW",71,71,1900000.0,800.0,28,2022.0,71,67,76,59,58,74,62,66,80,73,52,59,66,70,71,65,58,57,177
10804,E. Demir,"CAM, RM",65,79,1600000.0,500.0,17,2023.0,66,64,69,59,54,68,63,63,70,71,63,52,66,71,56,53,64,58,175
2500,O. El Kaddouri,"CM, CAM, LW",73,73,2900000.0,1000.0,30,2023.0,75,74,74,73,66,75,62,74,76,78,76,71,68,68,69,74,72,68,185
14723,R. Musaba,"CAM, CM, LM",61,72,725000.0,2000.0,20,2022.0,52,54,62,47,45,62,59,57,62,63,42,32,61,67,62,61,60,25,182
14157,A. El Moukhantir,"RM, CAM",62,68,625000.0,3000.0,23,2023.0,63,61,64,59,42,62,57,58,62,63,62,54,51,74,62,53,52,52,172
3993,R. Morrison,"CAM, CM",71,71,1900000.0,11000.0,28,2022.0,71,72,75,67,64,75,63,74,75,77,70,72,57,70,54,67,72,56,175
8401,Í. Jóhannesson,"CAM, CM, RW",67,82,2400000.0,2000.0,18,2026.0,72,68,69,65,56,69,56,65,66,68,67,58,59,74,87,65,68,54,180
2113,R. Quaison,"ST, LM, CAM",74,75,4900000.0,28000.0,27,2024.0,65,67,78,67,76,70,75,66,79,78,72,56,79,76,78,80,76,67,183
14190,M. Coronel,"ST, CAM",62,72,900000.0,2000.0,22,2024.0,42,51,63,56,45,58,61,46,64,60,51,42,64,74,64,65,58,40,172
14210,H. Sudakov,CAM,62,77,925000.0,500.0,18,2025.0,53,56,68,49,40,65,58,53,67,72,48,42,47,72,73,60,64,43,177
1237,M. Pereyra,"CAM, CM, RM",76,76,6000000.0,9000.0,31,2021.0,82,76,77,74,69,78,68,73,74,78,67,73,73,74,73,78,73,62,170
2392,P. Bucha,"CM, CAM, RM",74,81,8500000.0,900.0,23,2022.0,74,74,76,73,67,76,70,74,76,76,68,65,76,75,76,72,74,70,176
14175,C. Makgaka,"CAM, RW, LW",62,67,575000.0,500.0,25,2023.0,65,67,61,58,59,72,47,76,57,62,59,56,62,69,59,51,70,61,176
14226,Roger,"ST, RM, CAM",62,66,550000.0,2000.0,25,2022.0,49,60,63,62,56,64,65,59,63,67,70,63,49,71,71,61,55,50,180
14700,T. Perry,"CAM, CM",61,78,850000.0,1000.0,19,2023.0,56,57,64,47,52,62,56,59,64,61,55,60,58,69,54,61,59,40,180
2181,R. Thomas,"CM, CAM, CDM",74,76,5000000.0,16000.0,26,2022.0,75,73,77,66,61,77,65,76,78,79,62,63,74,75,78,69,72,63,174
12458,M. Gouaida,"CAM, LM, CM",63,63,475000.0,1000.0,28,2022.0,66,64,68,65,45,64,45,59,67,66,64,59,60,77,62,61,53,48,178
11923,J. Bosch,"CM, CAM",64,72,1300000.0,2000.0,21,2022.0,60,60,65,52,42,66,48,66,65,64,48,44,64,72,83,59,58,52,176
12527,M. Eberwein,"CAM, ST",63,66,625000.0,1000.0,25,2022.0,65,60,63,52,55,64,61,54,66,65,59,63,59,68,75,57,54,61,192
2042,Y. Belhanda,"CM, CAM",74,74,3500000.0,17000.0,31,2024.0,79,77,78,77,69,77,70,76,79,80,78,75,69,73,74,71,72,80,179
5829,C. Aquino,"CAM, RM, LM",69,69,1400000.0,550.0,29,2021.0,70,67,70,68,65,69,67,66,69,72,64,36,62,71,70,68,65,67,178
2210,Merquelanz,"LM, RM, CAM",74,75,5000000.0,26000.0,26,2022.0,75,75,74,77,66,76,77,68,74,75,76,80,68,73,67,71,69,73,176
5826,C. Pinares,"CAM, CM, LM",69,69,1300000.0,7000.0,30,2022.0,71,68,71,60,43,70,61,68,71,70,71,71,62,73,75,70,68,63,176
18873,Gao Haisheng,"CAM, CM, CDM",51,53,80000.0,3000.0,24,2021.0,53,47,56,45,43,44,41,48,52,57,43,49,48,74,56,42,51,43,183
11914,A. Lozano,"ST, CAM",64,74,1300000.0,5000.0,22,2022.0,60,66,66,66,52,70,64,66,66,70,73,64,51,74,52,62,51,62,175
16132,N. Okello,"CDM, CM, CAM",59,71,525000.0,900.0,20,2021.0,60,53,58,33,35,61,41,60,61,61,38,38,50,66,63,50,58,50,193
16323,M. Haygarth,"RW, CAM, ST",59,75,575000.0,5000.0,19,2022.0,60,52,63,48,47,54,56,41,62,61,57,52,52,73,44,53,53,52,176
6054,S. Campo,CAM,69,72,1800000.0,8000.0,25,2024.0,68,71,71,70,65,72,61,70,70,73,77,75,62,73,66,64,56,48,177
2385,Kangin Lee,"ST, CAM, RM",74,82,9500000.0,18000.0,20,2025.0,78,75,79,70,74,76,75,72,80,78,76,81,73,71,46,77,69,70,173
19111,R. Borges Rodrigues,"CAM, ST",49,67,120000.0,500.0,17,2022.0,52,44,53,37,40,45,46,41,50,50,43,35,44,70,43,44,49,42,173
149,Paulinho,"CM, CAM, CDM",83,83,28500000.0,61000.0,32,2024.0,82,77,81,67,75,82,83,76,82,83,66,75,82,73,91,83,81,71,183
16541,J. Thomson,"CDM, CAM, CM",58,65,375000.0,500.0,24,2021.0,58,56,57,52,57,60,48,55,55,56,49,44,55,67,75,58,55,44,178
16489,B. Barcia,"CAM, ST",59,73,550000.0,500.0,20,2025.0,64,58,55,49,39,65,53,54,51,61,48,50,45,70,55,56,57,38,182
16340,J. Steuckers,"CAM, CM",59,73,525000.0,1000.0,19,2022.0,61,58,61,54,44,62,42,56,59,63,57,33,58,73,55,52,55,38,175
16347,T. Miyagi,"LW, CF, CAM",59,72,550000.0,2000.0,20,2023.0,57,55,60,56,38,57,55,51,60,60,47,44,51,78,46,52,43,49,176
2495,M. Pérez García,"CAM, LM, RM",73,73,1000000.0,11000.0,36,2021.0,73,73,76,72,55,74,69,73,75,74,73,71,64,70,67,70,69,67,165
2455,A. Büyük,"ST, LW, CAM",73,73,1900000.0,14000.0,33,2022.0,71,70,74,68,65,73,74,66,72,75,63,68,72,73,73,74,70,71,177
17218,D. Glass,CAM,57,67,375000.0,1000.0,21,2023.0,59,55,57,46,47,60,52,57,55,56,54,43,43,73,62,52,56,49,174
2833,R. Lod,"LM, CF, CAM",73,73,3100000.0,8000.0,28,2021.0,70,71,73,68,67,74,72,68,72,76,72,66,67,73,71,72,68,64,181
5972,Diogildo Peixe,"CAM, ST",69,69,1600000.0,5000.0,21,2024.0,71,65,75,71,72,67,61,56,77,71,45,55,66,71,62,61,62,66,181
16691,K. Alaníz,CAM,58,71,475000.0,500.0,18,2024.0,59,54,61,47,35,54,51,57,61,63,47,51,47,71,65,52,42,40,172
16105,E. Küc,"CAM, LM",59,64,350000.0,650.0,24,2022.0,53,55,62,52,44,61,53,59,63,60,37,36,54,70,68,55,42,42,179
1948,C. De Ketelaere,"LW, CAM, ST",75,85,12500000.0,19000.0,20,2023.0,75,75,77,74,72,77,74,74,79,81,71,68,71,69,83,73,74,58,192
12431,A. Al Ghamdi,"RW, ST, CAM",63,64,575000.0,5000.0,26,2022.0,57,58,65,56,63,59,65,52,63,64,68,63,57,71,57,62,67,64,175
2272,José Mirazar,"CAM, LM, LW",74,74,4700000.0,24000.0,25,2024.0,76,76,76,77,64,75,64,74,79,76,77,76,74,73,82,75,67,76,180
16086,S. Duke-McKenna,"RM, LM, CAM",59,72,550000.0,2000.0,20,2022.0,55,56,63,55,40,60,42,52,62,57,50,44,55,74,49,58,53,54,170
2880,Fabrio Farinha,"CAM, LM",73,73,3000000.0,22000.0,29,2024.0,77,75,77,75,66,77,65,74,77,75,70,62,73,71,57,67,76,64,177
16599,Y. Al Mozairib,"LW, CAM",58,63,300000.0,3000.0,23,2024.0,54,48,62,42,46,52,56,44,63,63,37,41,53,71,79,55,53,55,178
6239,Stoichkov,"ST, CAM",69,70,1600000.0,6000.0,27,2024.0,66,67,70,62,52,71,73,67,70,71,65,56,69,73,66,70,64,79,178
2813,J. Carrascal,"CAM, LM",73,80,6000000.0,12000.0,23,2024.0,70,70,81,67,65,73,67,68,82,76,75,70,71,73,65,70,79,67,179
4086,J. Gómez,"CAM, LM, CM",71,71,1600000.0,9000.0,31,2024.0,73,70,74,67,64,71,68,72,75,71,69,56,65,73,68,70,63,77,171
14720,C. Elliot,"RB, CAM",61,71,700000.0,650.0,21,2023.0,58,56,62,55,40,58,50,55,58,61,49,48,63,73,64,54,60,48,175
1273,F. Boulaya,"CAM, RW",76,76,7500000.0,20000.0,28,2022.0,79,75,80,76,55,75,69,70,83,80,76,75,68,73,65,75,77,56,179
4874,I. Brown,"CAM, CM",70,75,2400000.0,16000.0,24,2022.0,74,68,73,69,56,68,65,66,73,73,60,55,60,73,59,66,71,60,182
4138,G. Honeyman,"CM, CAM",71,72,2200000.0,10000.0,26,2022.0,72,71,70,69,55,72,67,70,69,69,69,66,69,69,91,68,69,64,173
1180,A. Dzagoev,"CM, CDM, CAM",76,76,6000000.0,40000.0,31,2023.0,81,74,76,72,72,74,70,72,75,79,67,75,75,74,68,74,75,65,179
4928,K. Molino,"CAM, LM",70,70,1300000.0,5000.0,31,2021.0,68,66,74,63,60,68,72,60,74,73,68,63,71,72,73,72,73,69,173
845,Luis Milla,"CDM, CM, CAM",78,82,17500000.0,24000.0,26,2024.0,74,76,74,72,51,80,67,75,71,78,71,73,77,76,86,75,80,73,175
4917,A. Halilović,"CAM, RM",70,74,2200000.0,15000.0,25,2022.0,69,70,75,71,64,71,57,67,74,76,80,69,65,74,55,68,70,66,169
755,N. Stanciu,"CAM, CM",78,78,14000000.0,1000.0,28,2023.0,80,80,80,78,70,79,74,82,79,79,84,83,80,75,83,74,76,73,170
1374,Nicolás Filhei,"CM, CAM",76,76,8500000.0,34000.0,25,2024.0,78,76,76,65,66,82,69,80,75,77,71,65,81,76,53,75,72,58,172
13491,Chen Zhizhao,"CM, CAM, LW",62,62,240000.0,3000.0,33,2023.0,60,61,66,54,37,63,62,61,64,65,68,68,65,74,56,67,54,53,172
13967,A. Buziuc,"RW, ST, CAM",62,62,425000.0,1000.0,27,2022.0,61,57,61,61,51,58,62,52,63,55,48,47,60,75,73,62,66,26,175
14288,J. Braut-Brunes,"ST, CAM",62,71,875000.0,950.0,20,2023.0,52,54,64,44,46,63,61,54,64,66,43,44,55,71,56,58,60,55,188
18068,M. Huskovic,"ST, CAM",55,72,325000.0,1000.0,18,2025.0,45,41,56,28,43,49,59,42,58,55,35,28,48,70,50,53,43,42,180
14331,T. Dombrowa,"LM, RM, CAM",62,67,600000.0,500.0,21,2023.0,62,59,66,65,58,63,62,55,66,66,41,32,42,72,41,55,45,50,170
4575,A. Karabec,"CAM, CM, LM",71,84,4300000.0,500.0,17,2023.0,73,68,74,61,65,73,64,64,75,73,63,59,73,71,69,69,69,67,185
4450,M. Yandaş,"CAM, CM",71,72,2200000.0,28000.0,26,2024.0,68,69,71,68,47,72,65,71,70,72,65,60,75,73,81,69,64,60,174
13903,I. Hutchinson,"CM, CAM, RM",62,70,900000.0,2000.0,21,2022.0,58,60,67,56,48,64,63,62,67,65,52,53,56,74,71,60,62,53,178
13810,T. Al Ammar,"CM, CAM, RM",62,76,975000.0,5000.0,21,2024.0,63,62,66,62,37,67,57,60,65,63,50,38,60,70,76,61,54,29,173
13786,J. Earing,"CAM, CM",62,70,900000.0,3000.0,22,2023.0,62,61,63,56,55,63,57,61,63,61,58,56,58,73,70,58,61,55,182
862,F. Wirtz,"CAM, CM",78,89,29500000.0,18000.0,18,2026.0,83,76,83,71,63,80,70,73,85,83,75,54,68,76,78,74,80,60,176
4859,S. Kerk,"CAM, CF, LM",70,71,1800000.0,15000.0,27,2023.0,72,75,70,82,68,70,67,74,70,71,81,82,66,65,84,67,66,67,184
13780,S. Alami,"CAM, RM, LM",62,62,400000.0,2000.0,28,2022.0,60,61,68,63,47,61,55,60,68,65,64,64,56,75,42,60,62,60,169
18280,D. Hawkins,CAM,54,67,250000.0,500.0,20,2021.0,55,52,59,50,38,57,47,44,57,55,45,36,53,72,62,45,57,44,173
18299,Rochharzela,"LM, CAM",54,62,240000.0,500.0,23,2023.0,52,52,58,50,38,53,41,55,53,56,49,43,48,71,41,47,52,41,176
4287,Clayton Fildeiras,"CAM, CM",71,71,2100000.0,11000.0,25,2024.0,72,69,73,56,56,75,66,65,72,75,71,74,75,66,80,62,71,77,172
1629,J. Boëtius,"CAM, CM",75,76,6500000.0,23000.0,27,2022.0,78,74,78,73,72,75,69,68,79,78,78,60,73,79,90,75,72,61,178
15577,Kang Hyun Muk,"CAM, ST",60,76,650000.0,850.0,20,2022.0,55,57,66,50,35,63,43,55,65,63,56,53,54,73,65,62,60,40,173
1627,N. Sliti,"LM, CAM",75,75,5500000.0,29000.0,28,2022.0,75,72,78,70,71,75,71,64,79,77,70,65,71,73,76,73,74,70,173
3306,Vako,"LM, CAM",72,72,2400000.0,9000.0,28,2023.0,65,66,77,64,59,73,69,60,78,76,70,52,69,68,64,70,78,59,174
12850,M. Radecki,"CAM, ST, CDM",63,63,475000.0,1000.0,28,2022.0,59,59,63,54,48,64,61,63,62,64,49,42,62,71,83,62,56,51,187
5551,T. Torun,"RM, CAM",69,69,1200000.0,7000.0,31,2022.0,67,68,71,70,58,69,63,66,72,68,66,73,67,70,66,65,62,56,176
5490,A. Bonnet,"LM, CAM, ST",69,69,650000.0,5000.0,34,2022.0,67,68,71,69,54,68,67,67,69,71,71,67,60,73,75,64,67,74,173
18650,N. Ødegård,"RM, CAM",53,73,250000.0,500.0,17,2021.0,46,48,53,48,46,50,41,48,50,55,39,42,40,70,70,43,49,35,183
15509,R. Tierney,"CAM, CM, CDM",60,75,600000.0,500.0,20,2021.0,55,56,60,50,46,63,58,54,55,63,51,47,59,69,71,58,54,55,174
3401,B. Alemán,"CAM, RM, LM",72,72,1900000.0,13000.0,31,2022.0,71,74,72,71,66,76,65,73,72,74,80,78,66,69,66,70,69,69,176
17477,J. Hallam,"CAM, RM",56,66,325000.0,2000.0,22,2023.0,49,48,60,38,42,54,61,42,58,57,52,58,54,73,56,60,58,61,173
423,João Pedro,"CF, ST, CAM",80,80,21000000.0,46000.0,29,2023.0,80,77,81,69,72,81,82,74,81,83,80,76,85,74,75,81,81,69,184
420,Pablo Sarabia,"RW, CAM",80,80,20500000.0,95000.0,29,2022.0,83,81,82,81,64,83,77,78,83,83,84,74,79,73,71,81,76,69,174
12682,E. Embleton,"CAM, RM",63,71,1100000.0,3000.0,22,2022.0,65,61,64,52,48,64,56,62,62,63,55,60,61,73,66,62,47,51,173
15821,César Sousa,"CAM, CM",60,70,550000.0,950.0,21,2023.0,64,55,66,50,50,55,52,55,69,67,57,46,54,75,48,46,58,51,173
5612,J. Hochscheidt,"LM, ST, CAM",69,69,875000.0,5000.0,33,2023.0,68,69,70,68,66,70,67,67,70,66,71,68,71,62,66,67,69,61,180
17439,R. Murray,"ST, CAM",56,56,140000.0,550.0,29,2021.0,53,54,60,56,52,53,51,51,58,57,58,60,56,70,69,57,54,63,170
15092,Tomás Händel,"CAM, CM",61,71,725000.0,1000.0,20,2026.0,63,61,68,56,48,65,44,61,69,68,59,49,58,77,49,41,58,63,180
15096,S. McGurk,"CAM, LM",61,80,825000.0,4000.0,18,2024.0,60,60,61,54,48,67,61,56,59,61,52,53,63,73,55,47,59,51,173
3708,Z. Flemming,"CAM, CM",72,78,3800000.0,9000.0,22,2024.0,70,67,71,56,59,71,74,68,69,75,72,67,71,69,81,75,72,68,185
13211,I. Šaranić,"RW, CAM",63,82,1200000.0,500.0,18,2027.0,61,62,71,61,60,62,45,58,75,74,76,70,49,69,60,50,64,72,185
13269,Álex Cardero,"CM, CAM",63,82,1200000.0,500.0,17,2022.0,67,64,68,54,51,67,56,65,67,67,64,62,58,73,54,58,65,58,178
14984,E. Obregón,"RM, CAM",61,77,850000.0,1000.0,19,2023.0,53,56,64,54,66,62,59,55,63,66,55,45,47,75,53,58,51,61,177
13319,P. Pomer,"CAM, LM",63,70,975000.0,2000.0,23,2023.0,68,63,62,52,44,68,54,64,60,65,56,53,55,69,62,55,61,55,180
15028,A. Scott,CAM,61,79,825000.0,750.0,17,2025.0,65,62,68,58,48,64,38,59,68,64,62,60,54,74,70,50,63,52,178
3756,O. Kiteishvili,"CAM, LM, CM",72,76,3300000.0,15000.0,25,2024.0,73,69,74,64,60,73,66,71,74,73,58,53,69,75,82,68,72,54,173
15048,J. Grimaldo,"CAM, RW",61,80,825000.0,500.0,18,2023.0,58,59,63,55,44,65,60,58,63,65,48,51,53,71,58,55,53,60,175
3671,M. Bero,"CM, CAM",72,75,3100000.0,12000.0,25,2022.0,68,70,73,68,69,73,71,69,73,75,69,64,72,69,88,72,69,67,181
1583,Z. Labyad,"CAM, CF",75,75,5500000.0,16000.0,28,2022.0,81,76,78,77,74,73,71,68,77,82,85,83,71,74,68,66,75,68,175
3443,J. Sornoza,CAM,72,73,2700000.0,850.0,27,2026.0,78,72,72,68,59,73,68,71,71,73,70,71,66,73,70,71,61,73,170
5332,Iván Jaime,"CAM, ST, LW",70,82,3800000.0,5000.0,20,2025.0,65,65,71,57,65,69,72,68,73,74,65,55,64,74,62,73,52,59,180
3628,G. Carabajal,"LM, CAM",72,72,2300000.0,11000.0,29,2021.0,73,71,73,69,61,73,69,65,73,71,77,71,71,76,68,75,79,71,176
15247,M. Do Couto,"LM, CAM",60,66,400000.0,1000.0,24,2023.0,57,52,65,50,55,56,60,44,65,65,55,32,52,73,54,46,52,50,172
6356,N. Bätzner,"CAM, CM",69,78,3100000.0,5000.0,21,2023.0,70,70,73,66,53,75,56,72,72,75,67,56,58,76,68,52,57,54,175
11745,E. Tallig,"CM, RM, CAM",64,75,1300000.0,800.0,21,2023.0,60,61,69,59,48,68,58,63,67,66,50,36,61,76,83,62,61,50,178
7923,G. Stewart,"CF, ST, CAM",67,67,850000.0,900.0,31,2026.0,69,65,68,64,49,67,69,61,68,67,57,61,60,69,49,67,61,62,178
6443,H. Kage,"RW, LW, CAM",68,68,1000000.0,6000.0,31,2022.0,64,64,72,72,63,61,60,59,75,67,69,61,64,73,63,64,72,55,177
7190,Pep Biel,"RW, CAM, CM",68,70,1600000.0,8000.0,24,2024.0,66,66,70,66,52,68,65,61,68,70,69,67,65,73,72,66,61,60,167
10349,K. Salazar,CAM,65,70,1000000.0,550.0,25,2024.0,66,65,70,65,50,68,49,67,70,70,53,36,55,73,72,62,60,48,170
9599,M. Balda,"CAM, LM, RM",66,66,850000.0,500.0,29,2025.0,69,62,65,51,59,66,59,64,64,64,58,44,67,72,63,66,55,59,173
6825,L. Houri,"CAM, CM",68,73,1800000.0,6000.0,25,2024.0,68,68,72,64,63,71,57,68,71,72,69,68,70,71,76,63,62,69,166
11570,Juanpe,"CM, CDM, CAM",64,69,850000.0,2000.0,25,2023.0,69,65,64,65,47,63,65,70,63,69,56,54,47,68,80,61,67,61,184
8438,A. Luković,"CAM, CM",67,70,1300000.0,3000.0,26,2023.0,69,64,67,55,51,66,64,65,68,68,54,67,60,72,73,63,60,59,189
7659,K. Holmberg,"ST, CAM",67,67,1000000.0,4000.0,28,2022.0,67,56,64,45,56,60,68,53,60,64,49,47,70,71,79,76,65,62,185
6643,B. Potts,"CAM, LM, RM",68,69,1400000.0,14000.0,26,2022.0,69,66,67,63,37,69,65,63,67,70,54,57,66,68,87,67,64,48,188
10725,F. Amaya,"CM, CAM",65,74,1600000.0,2000.0,20,2022.0,61,60,66,45,46,67,49,67,66,64,57,44,64,73,78,60,59,45,165
10213,S. Jacob,"ST, CAM",65,65,725000.0,2000.0,28,2023.0,66,54,67,40,60,63,64,44,65,68,50,37,60,70,73,68,66,62,183
10676,J. López,"CM, CAM, CDM",65,74,1600000.0,4000.0,21,2024.0,65,63,71,55,46,73,48,57,72,71,57,45,64,75,75,59,58,49,182
8475,D. Janošek,"CM, CDM, CAM",67,75,2300000.0,500.0,23,2023.0,68,63,68,51,52,69,54,66,67,68,43,58,67,71,69,56,69,48,183
8938,E. Lee,"CAM, RW, CM",66,69,1100000.0,5000.0,26,2022.0,65,63,66,57,63,67,65,58,67,66,62,61,63,72,66,63,61,60,180
9403,A. Fontana,CAM,66,73,1700000.0,2000.0,21,2021.0,66,62,68,52,53,67,63,62,68,67,63,56,58,73,64,62,64,59,173
8543,Vitinha,"CAM, CM",67,81,2500000.0,3000.0,21,2024.0,70,67,72,60,60,69,51,70,70,70,60,61,65,76,63,60,73,73,172
11679,L. Rajot,"CAM, CDM, CM",64,69,875000.0,1000.0,23,2024.0,59,64,66,51,44,72,52,69,64,68,58,67,62,75,64,56,57,51,179
6624,Cristian Herrera,"RM, ST, CAM",68,68,1200000.0,4000.0,30,2023.0,68,66,61,68,65,62,69,67,64,60,67,64,64,69,81,75,66,74,181
7794,C. Camps,"CM, CAM",67,72,1500000.0,4000.0,25,2022.0,66,65,67,58,59,68,65,67,67,67,63,72,63,71,83,63,64,47,180
10635,K. Magennis,"CM, CAM, LM",65,71,1100000.0,2000.0,22,2025.0,65,66,66,65,59,67,62,66,65,66,66,64,60,73,75,62,60,54,181
9373,L. Daschner,"CAM, LM, RM",66,73,1700000.0,5000.0,22,2023.0,68,62,67,53,54,68,65,61,67,67,49,38,60,73,70,56,58,35,182
7622,A. Gorgon,"CAM, CM, RM",67,67,800000.0,3000.0,32,2023.0,65,67,67,64,70,71,63,64,67,68,68,66,62,71,72,70,61,70,185
8934,B. Jopek,"CM, CAM",66,66,900000.0,1000.0,27,2022.0,70,67,72,63,51,69,55,63,70,72,72,70,65,75,82,64,66,40,183
9207,Lee Seung Woo,"LM, RM, CAM",66,71,1300000.0,4000.0,23,2022.0,59,59,72,57,62,66,63,54,73,70,55,27,68,77,50,64,70,62,173
7146,Y. Fekir,"LW, RW, CAM",68,74,1900000.0,9000.0,24,2023.0,61,62,72,67,56,65,68,52,73,71,57,59,58,72,46,63,60,58,170
11171,L. Tankulić,"CAM, RM",64,64,575000.0,750.0,30,2023.0,66,56,66,45,60,63,63,36,66,66,55,66,60,72,76,60,57,45,182
7975,Kim Jong Woo,"CM, CAM",67,67,1100000.0,2000.0,27,2022.0,70,67,67,61,59,70,58,65,64,67,61,66,70,69,74,66,67,58,180
9791,E. Guerrero,"RW, CAM, LW",66,71,1300000.0,1000.0,24,2022.0,65,56,69,65,53,55,65,46,72,70,41,30,50,73,51,68,47,48,165
10406,A. Tanaka,"CAM, LW",65,65,450000.0,500.0,33,2022.0,64,62,67,60,50,64,56,60,64,65,55,62,62,72,73,68,66,46,167
11092,P. McGowan,"CM, CAM",64,64,350000.0,2000.0,33,2022.0,64,63,71,59,55,65,63,62,67,70,69,62,63,71,79,62,67,64,170
